table,column,rows,unique_values,duplicate_values
olist_customers_dataset,customer_id,99441,99441,0
olist_customers_dataset,customer_unique_id,99441,96096,3345
olist_orders_dataset,order_id,99441,99441,0
olist_orders_dataset,customer_id,99441,99441,0
olist_order_items_dataset,order_id,112650,98666,13984
olist_order_items_dataset,order_item_id,112650,21,112629
olist_order_items_dataset,product_id,112650,32951,79699
olist_order_items_dataset,seller_id,112650,3095,109555
olist_order_payments_dataset,order_id,103886,99440,4446
olist_order_reviews_dataset,review_id,99224,98410,814
olist_order_reviews_dataset,order_id,99224,98673,551
olist_products_dataset,product_id,32951,32951,0
olist_sellers_dataset,seller_id,3095,3095,0
