table,column,min,max,mean,median,std
olist_customers_dataset,customer_zip_code_prefix,1003,99990,35137.47458,24416,29797.939
olist_geolocation_dataset,geolocation_zip_code_prefix,1001,99990,36574.16647,26530,30549.33571
olist_geolocation_dataset,geolocation_lat,-36.60537441,45.06593318,-21.17615291,-22.91937749,5.715866309
olist_geolocation_dataset,geolocation_lng,-101.4667664,121.1053938,-46.39054132,-46.63787867,4.269748307
olist_order_items_dataset,order_item_id,1,21,1.197833999,1,0.705124031
olist_order_items_dataset,price,0.85,6735,120.653739,74.99,183.6339281
olist_order_items_dataset,freight_value,0,409.68,19.99031993,16.26,15.80640541
olist_order_payments_dataset,payment_sequential,1,29,1.092678513,1,0.706583779
olist_order_payments_dataset,payment_installments,0,24,2.853348863,1,2.687050674
olist_order_payments_dataset,payment_value,0,13664.08,154.1003804,100,217.4940639
olist_order_reviews_dataset,review_score,1,5,4.086420624,5,1.347579131
olist_products_dataset,product_name_lenght,5,76,48.47694876,51,10.24574073
olist_products_dataset,product_description_lenght,4,3992,771.4952846,595,635.1152246
olist_products_dataset,product_photos_qty,1,20,2.188986117,1,1.736765638
olist_products_dataset,product_weight_g,0,40425,2276.472488,700,4282.038731
olist_products_dataset,product_length_cm,7,105,30.81507785,25,16.91445805
olist_products_dataset,product_height_cm,2,105,16.93766123,13,13.63755406
olist_products_dataset,product_width_cm,6,118,23.19672828,20,12.07904745
olist_sellers_dataset,seller_zip_code_prefix,1001,99730,32291.05945,14940,32713.45383
